site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
SEG1,all_scores_ESS25_SEG01,SCH,SEG01,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,23,0.42,45,321.06,80.27,756.86,all_scores_ESS25,4.686941444,80.27,2505
SEG2,all_scores_ESS25_SEG02,SCH,SEG02,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,45,0.06,47,326.36,81.59,772.5,all_scores_ESS25,4.686941444,81.59,2505
SEG3,all_scores_ESS25_SEG03,SCH,SEG03,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,30.4,0.35,45,321.06,80.27,756.86,all_scores_ESS25,4.686941444,80.27,2505
SEG4,all_scores_ESS25_SEG04,SCH,SEG04,6,1,SEG15,0.625,0.461538462,0.573033708,0.269406393,0.142857143,1,0.130268199,0.332717589,0.464285714,1,71.5,0.35,24,0,0,543.57,all_scores_ESS25,3.900892921,0,2505
SEG5,all_scores_ESS25_SEG05,SCH,SEG05,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,71.5,0.35,39,297.28,74.32,678.68,all_scores_ESS25,4.686941444,74.32,2505
SEG6,all_scores_ESS25_SEG06,SCH,SEG06,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,28.57,0.16,33,153.67,38.42,558.93,all_scores_ESS25,3.776406893,38.42,2505
SEG8,all_scores_ESS25_SEG08,SCH,SEG08,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,17.9,0.43,39,297.28,74.32,678.68,all_scores_ESS25,4.686941444,74.32,2505
SEG9,all_scores_ESS25_SEG09,SCH,SEG09,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,42.2,0,34,187.26,46.81,582.51,all_scores_ESS25,3.776406893,46.81,2505
SEG10,all_scores_ESS25_SEG10,SCH,SEG10,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,30.4,0.67,45,321.06,80.27,756.86,all_scores_ESS25,4.686941444,80.27,2505
SEG11,all_scores_ESS25_SEG11,SCH,SEG11,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,30.4,0,40,311.82,77.96,725.59,all_scores_ESS25,4.686941444,77.96,2505
SEG12,all_scores_ESS25_SEG12,SCH,SEG12,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,23,0.36,45,321.06,80.27,756.86,all_scores_ESS25,4.686941444,80.27,2505
SEG13,all_scores_ESS25_SEG13,SCH,SEG13,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,8.46,0.65,32,153.39,38.35,535.35,all_scores_ESS25,3.776406893,38.35,2505
SEG14,all_scores_ESS25_SEG14,SCH,SEG14,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,16.5,1.39,47,326.36,81.59,772.5,all_scores_ESS25,4.686941444,81.59,2505
SEG15,all_scores_ESS25_SEG15,SCH,SEG15,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,71.5,0.6,39,297.28,74.32,678.68,all_scores_ESS25,4.686941444,74.32,2505
SEG16,all_scores_ESS25_SEG16,SCH,SEG16,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,71.5,1.11,38,289.4,72.35,647.41,all_scores_ESS25,4.686941444,72.35,2505
SEG17,all_scores_ESS25_SEG17,SCH,SEG17,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,28.57,0.68,33,153.67,38.42,558.93,all_scores_ESS25,3.776406893,38.42,2505
SEG19,all_scores_ESS25_SEG19,SCH,SEG19,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,51.6,0.12,40,311.82,77.96,725.59,all_scores_ESS25,4.686941444,77.96,2505
SEG20,all_scores_ESS25_SEG20,SCH,SEG20,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,19,0.82,32,153.39,38.35,535.35,all_scores_ESS25,3.776406893,38.35,2505
SEG21,all_scores_ESS25_SEG21,SCH,SEG21,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,8.3,0.55,32,153.39,38.35,535.35,all_scores_ESS25,3.776406893,38.35,2505
SEG22,all_scores_ESS25_SEG22,SCH,SEG22,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,33.67,0.26,50,330.29,82.57,788.14,all_scores_ESS25,4.686941444,82.57,2505
SEG23,all_scores_ESS25_SEG23,SCH,SEG23,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,43.4,0.18,37,278.8,69.7,616.13,all_scores_ESS25,4.686941444,69.7,2505
SEG24,all_scores_ESS25_SEG24,SCH,SEG24,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,58.69,0.72,37,278.8,69.7,616.13,all_scores_ESS25,4.686941444,69.7,2505
SEG25,all_scores_ESS25_SEG25,SCH,SEG25,10,2,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,8.98,0.98,35,255.32,63.83,553.59,all_scores_ESS25,4.686941444,63.83,2505
SEG26,all_scores_ESS25_SEG26,SCH,SEG26,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,43.4,0.31,34,187.26,46.81,582.51,all_scores_ESS25,3.776406893,46.81,2505
SEG28,all_scores_ESS25_SEG28,SCH,SEG28,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,19.9,0.96,48,326.36,81.59,772.5,all_scores_ESS25,4.686941444,81.59,2505
SEG29,all_scores_ESS25_SEG29,SCH,SEG29,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,19.9,0.62,48,326.36,81.59,772.5,all_scores_ESS25,4.686941444,81.59,2505
SEG31,all_scores_ESS25_SEG31,SCH,SEG31,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,32.44,4.68,45,321.06,80.27,756.86,all_scores_ESS25,4.686941444,80.27,2505
SEG32,all_scores_ESS25_SEG32,SCH,SEG32,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,32.44,2.44,56,344.84,86.21,835.05,all_scores_ESS25,4.686941444,86.21,2505
SEG33,all_scores_ESS25_SEG33,SCH,SEG33,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,8.17,3.55,37,278.8,69.7,616.13,all_scores_ESS25,4.686941444,69.7,2505
SEG34,all_scores_ESS25_SEG34,SCH,SEG34,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,27.76,8.09,37,278.8,69.7,616.13,all_scores_ESS25,4.686941444,69.7,2505
SEG35,all_scores_ESS25_SEG35,SCH,SEG35,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,27.76,2.47,40,311.82,77.96,725.59,all_scores_ESS25,4.686941444,77.96,2505
SEG36,all_scores_ESS25_SEG36,SCH,SEG36,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,6.56,3.33,36,270.93,67.73,584.86,all_scores_ESS25,4.686941444,67.73,2505
SEG37,all_scores_ESS25_SEG37,SCH,SEG37,6,1,SEG15,0.625,0.461538462,0.573033708,0.269406393,0.142857143,1,0.130268199,0.332717589,0.464285714,1,18.16,4.37,21,0,0,450.03,all_scores_ESS25,3.900892921,0,2505
SEG38,all_scores_ESS25_SEG38,SCH,SEG38,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,3.32,2.1,34,187.26,46.81,582.51,all_scores_ESS25,3.776406893,46.81,2505
SEG39,all_scores_ESS25_SEG39,SCH,SEG39,7,2,SEG32,0.125,0.461538462,0.472222222,1,0.166666667,0,0.781609195,0.519370347,0,1,11.76,1.74,34,187.26,46.81,582.51,all_scores_ESS25,3.776406893,46.81,2505
SEG40,all_scores_ESS25_SEG40,SCH,SEG40,6,1,SEG15,0.625,0.461538462,0.573033708,0.269406393,0.142857143,1,0.130268199,0.332717589,0.464285714,1,16.62,3.88,25,0,0,574.74,all_scores_ESS25,3.900892921,0,2505
SEG41,all_scores_ESS25_SEG41,SCH,SEG41,10,3,SEG38,0.875,0.692307692,0.373626374,0.269406393,0.714285714,0,0.530172414,1,0.428571429,0.5,8.11,0.98,39,297.28,74.32,678.68,all_scores_ESS25,4.686941444,74.32,2505
SEG42,all_scores_ESS25_SEG42,SCH,SEG42,6,2,SEG15,0.625,0.461538462,0.573033708,0.269406393,0.142857143,1,0.130268199,0.332717589,0.464285714,1,10.93,4.01,29,0,0,699.48,all_scores_ESS25,3.900892921,0,2505
