site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,n_red_list_lepi_pa,n_red_list_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
AEG1,all_scores_AEG01,ALB,AEG01,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,9.79,4.98,29,5.43,1.3575,574.31,all_scores,3.905127808,1.3575,908
AEG2,all_scores_AEG02,ALB,AEG02,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,6.34,10.83,29,5.43,1.3575,574.31,all_scores,3.905127808,1.3575,908
AEG3,all_scores_AEG03,ALB,AEG03,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.19,5.5,30,31.92,7.98,574.31,all_scores,3.905127808,7.98,908
AEG4,all_scores_AEG04,ALB,AEG04,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,4.39,18.68,36,123.7,30.925,624.59,all_scores,3.502984417,30.925,908
AEG5,all_scores_AEG05,ALB,AEG05,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,8.16,4.87,36,123.7,30.925,624.59,all_scores,3.502984417,30.925,908
AEG6,all_scores_AEG06,ALB,AEG06,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,6.4,12.67,38,140.96,35.24,643.46,all_scores,3.502984417,35.24,908
AEG7,all_scores_AEG07,ALB,AEG07,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,9.1,18.05,18,15.75,3.9375,387.39,all_scores,3.558380502,3.9375,908
AEG8,all_scores_AEG08,ALB,AEG08,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,8.1,6.54,26,21.36,5.34,489.41,all_scores,3.905127808,5.34,908
AEG9,all_scores_AEG09,ALB,AEG09,12,1,AEG09,1,0.9,1,0.85714,0.65882,0.67241,0.89032,0.5,0.35467,0.7213,0.26667,1,12.39,23.69,18,631.82,157.955,-401.34,all_scores,9.32134343,157.955,908
AEG11,all_scores_AEG11,ALB,AEG11,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,5.61,8.87,35,115.34,28.835,614.9,all_scores,3.502984417,28.835,908
AEG12,all_scores_AEG12,ALB,AEG12,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,14.75,8.5,22,17.92,4.48,440.71,all_scores,3.558380502,4.48,908
AEG13,all_scores_AEG13,ALB,AEG13,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,6.74,12.49,33,41.22,10.305,644.47,all_scores,3.917133969,10.305,908
AEG14,all_scores_AEG14,ALB,AEG14,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,5.64,10.74,25,19.46,4.865,478.59,all_scores,3.558380502,4.865,908
AEG15,all_scores_AEG15,ALB,AEG15,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,3.78,11.94,33,41.22,10.305,644.47,all_scores,3.917133969,10.305,908
AEG17,all_scores_AEG17,ALB,AEG17,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,1.98,10.02,29,5.43,1.3575,574.31,all_scores,3.905127808,1.3575,908
AEG18,all_scores_AEG18,ALB,AEG18,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,3.5,6.57,20,16.85,4.2125,414.45,all_scores,3.558380502,4.2125,908
AEG19,all_scores_AEG19,ALB,AEG19,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.13,10.69,29,5.43,1.3575,574.31,all_scores,3.905127808,1.3575,908
AEG20,all_scores_AEG20,ALB,AEG20,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,2.19,26.93,27,0,0,518.44,all_scores,3.905127808,0,908
AEG21,all_scores_AEG21,ALB,AEG21,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,2.93,5.28,28,6.19,1.5475,547.05,all_scores,3.905127808,1.5475,908
AEG22,all_scores_AEG22,ALB,AEG22,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,4.84,14.89,30,31.92,7.98,574.31,all_scores,3.905127808,7.98,908
AEG23,all_scores_AEG23,ALB,AEG23,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,0.49,2.53,44,196.86,49.215,695.91,all_scores,3.502984417,49.215,908
AEG24,all_scores_AEG24,ALB,AEG24,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,1.88,4.86,32,40.18,10.045,619.02,all_scores,3.917133969,10.045,908
AEG25,all_scores_AEG25,ALB,AEG25,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,22.06,17.17,34,42.6,10.65,669.58,all_scores,3.917133969,10.65,908
AEG26,all_scores_AEG26,ALB,AEG26,12,1,AEG47,0.83333,0.83333,0.83333,0.42857,0.65882,0.57778,1,0,0.64851,0.66035,0,1,1.4,23.34,19,647.77,161.9425,-380.8,all_scores,7.47403281,161.9425,908
AEG27,all_scores_AEG27,ALB,AEG27,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,2.21,10.49,17,15.19,3.7975,373.56,all_scores,3.558380502,3.7975,908
AEG30,all_scores_AEG30,ALB,AEG30,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,1.37,11.29,32,40.18,10.045,619.02,all_scores,3.917133969,10.045,908
AEG31,all_scores_AEG31,ALB,AEG31,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,4.28,14.27,22,17.92,4.48,440.71,all_scores,3.558380502,4.48,908
AEG36,all_scores_AEG36,ALB,AEG36,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,9.64,6.45,30,31.92,7.98,574.31,all_scores,3.905127808,7.98,908
AEG37,all_scores_AEG37,ALB,AEG37,5,2,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,3.93,17.6,27,3.47,0.8675,523.29,all_scores,3.502984417,0.8675,908
AEG38,all_scores_AEG38,ALB,AEG38,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,1.28,3.02,43,187.11,46.7775,687.6,all_scores,3.502984417,46.7775,908
AEG39,all_scores_AEG39,ALB,AEG39,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.55,10.74,29,5.43,1.3575,574.31,all_scores,3.905127808,1.3575,908
AEG40,all_scores_AEG40,ALB,AEG40,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,0.88,13.89,28,6.19,1.5475,547.05,all_scores,3.905127808,1.5475,908
AEG41,all_scores_AEG41,ALB,AEG41,15,2,AEG14,0.27778,0.13333,0,0.28571,0.06659,0.05856,0.24516,0,0.95847,0.89153,1,0,5.39,14.55,31,39.46,9.865,593.25,all_scores,3.917133969,9.865,908
AEG42,all_scores_AEG42,ALB,AEG42,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,2.54,19.53,30,31.92,7.98,574.31,all_scores,3.905127808,7.98,908
AEG43,all_scores_AEG43,ALB,AEG43,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,0.7,14.02,28,6.19,1.5475,547.05,all_scores,3.905127808,1.5475,908
AEG44,all_scores_AEG44,ALB,AEG44,14,3,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,1.16,24.71,36,170.63,42.6575,574.31,all_scores,3.905127808,42.6575,908
AEG45,all_scores_AEG45,ALB,AEG45,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,1.55,7.55,40,158.9,39.725,661.63,all_scores,3.502984417,39.725,908
AEG46,all_scores_AEG46,ALB,AEG46,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.44,14.48,30,31.92,7.98,574.31,all_scores,3.905127808,7.98,908
AEG47,all_scores_AEG47,ALB,AEG47,12,1,AEG47,0.83333,0.83333,0.83333,0.42857,0.65882,0.57778,1,0,0.64851,0.66035,0,1,7.68,29.89,16,538.3,134.575,-380.8,all_scores,7.47403281,134.575,908
AEG48,all_scores_AEG48,ALB,AEG48,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,7.68,18.05,18,15.75,3.9375,387.39,all_scores,3.558380502,3.9375,908
AEG1,all_scores_ESS25_AEG01,ALB,AEG01,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,9.79,4.98,29,5.43,1.3575,574.31,all_scores_ESS25,2.980127808,1.3575,907
AEG2,all_scores_ESS25_AEG02,ALB,AEG02,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,6.34,10.83,29,5.43,1.3575,574.31,all_scores_ESS25,2.980127808,1.3575,907
AEG3,all_scores_ESS25_AEG03,ALB,AEG03,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.19,5.5,30,31.92,7.98,574.31,all_scores_ESS25,2.980127808,7.98,907
AEG4,all_scores_ESS25_AEG04,ALB,AEG04,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,4.39,18.68,36,123.7,30.925,624.59,all_scores_ESS25,2.777984417,30.925,907
AEG5,all_scores_ESS25_AEG05,ALB,AEG05,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,8.16,4.87,36,123.7,30.925,624.59,all_scores_ESS25,2.777984417,30.925,907
AEG6,all_scores_ESS25_AEG06,ALB,AEG06,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,6.4,12.67,38,140.96,35.24,643.46,all_scores_ESS25,2.777984417,35.24,907
AEG7,all_scores_ESS25_AEG07,ALB,AEG07,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,9.1,18.05,18,15.75,3.9375,387.39,all_scores_ESS25,2.833380502,3.9375,907
AEG8,all_scores_ESS25_AEG08,ALB,AEG08,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,8.1,6.54,26,19.96,4.99,490.82,all_scores_ESS25,2.833380502,4.99,907
AEG9,all_scores_ESS25_AEG09,ALB,AEG09,12,1,AEG09,1,0.9,1,0.85714,0.65882,0.67241,0.89032,0.5,0.35467,0.7213,0.26667,1,12.39,23.69,18,631.82,157.955,-401.34,all_scores_ESS25,8.37134343,157.955,907
AEG11,all_scores_ESS25_AEG11,ALB,AEG11,5,3,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,5.61,8.87,35,115.34,28.835,614.9,all_scores_ESS25,2.777984417,28.835,907
