region,epid,n_lepi,n_plant,n_red_list_lepi_pa,n_red_list_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa
ALB,AEG01,2,28,0,1,44,72,12,0,0.21428571428571427,0.9915281677069584,0,0
ALB,AEG02,3,16,0,0,57,69,10,0,0.20833333333333337,0.746226787015626,0,0
ALB,AEG03,3,22,1,0,46,71,16,0,0.24242424242424243,0.8485830209948683,2,0
ALB,AEG04,5,16,1,1,44,72,17,0,0.2125,-0.9230144359917924,1,0
ALB,AEG05,5,18,0,1,55,74,15,0,0.16666666666666666,-1.009432306238164,2,0
ALB,AEG06,5,24,0,1,44,71,16,0,0.13333333333333333,0.6178199424530949,0,0
ALB,AEG07,11,37,7,7,28,53,73,0,0.17936117936117937,0.9529863518685638,0,0
ALB,AEG08,9,37,2,0,41,68,77,0,0.23123123123123124,3.967791102511912,28,2
ALB,AEG09,20,43,12,6,30,58,141,1,0.16395348837209303,2.379907140930661,8,0
ALB,AEG10,12,29,4,1,38,69,37,0,0.10632183908045977,1.9017727025670952,15,1
ALB,AEG11,2,28,0,2,56,68,11,0,0.19642857142857145,-0.5658627834815776,3,0
ALB,AEG12,6,27,2,1,42,71,31,0,0.191358024691358,-1.7297472438632249,7,1
ALB,AEG13,6,23,1,0,47,72,31,0,0.2246376811594203,0.1709948685982933,18,1
ALB,AEG14,7,20,0,2,53,74,41,0,0.29285714285714287,3.349778046888418,30,2
ALB,AEG15,5,23,0,2,55,72,32,0,0.2782608695652174,0.9905544727016028,17,1
ALB,AEG17,4,29,0,0,45,72,26,0,0.22413793103448276,0.11148131186060516,7,1
ALB,AEG18,4,23,1,0,54,73,26,0,0.2826086956521739,0.8564977784900959,14,1
ALB,AEG19,2,17,1,1,24,74,3,0,0.08823529411764706,NA,7,1
ALB,AEG20,3,22,0,0,54,73,11,0,0.16666666666666666,0.176557719724955,0,0
ALB,AEG21,3,21,0,1,49,75,17,0,0.2698412698412698,1.7425874202664453,11,0
ALB,AEG22,12,34,5,2,40,62,93,0,0.22794117647058823,1.9237819392703135,15,1
ALB,AEG23,4,29,0,2,58,70,35,0,0.3017241379310345,0.3748619257444859,14,1
ALB,AEG24,3,17,0,1,49,76,9,0,0.17647058823529413,0.32786709350586457,14,1
ALB,AEG25,12,46,5,5,34,56,90,0,0.16304347826086957,1.927049037699453,0,0
ALB,AEG26,16,37,8,7,34,53,114,0,0.19256756756756757,2.101099719602737,21,1
ALB,AEG27,14,35,7,7,33,57,105,0,0.21428571428571427,1.1283562014828548,8,0
ALB,AEG28,8,45,2,3,43,64,75,0,0.20833333333333337,3.707017071013353,7,0
ALB,AEG30,10,34,5,1,40,72,63,0,0.18529411764705883,1.856214304452346,15,1
ALB,AEG31,4,32,0,1,55,67,23,0,0.1796875,2.5724292886389346,14,1
ALB,AEG32,15,26,7,1,32,74,55,1,0.14102564102564102,1.103506158220541,0,0
ALB,AEG33,13,38,4,2,40,68,104,0,0.21052631578947367,2.7914158884776734,9,0
ALB,AEG34,10,27,3,1,41,70,60,0,0.2222222222222222,1.7736590858490493,14,1
ALB,AEG36,2,22,1,2,50,73,7,0,0.1590909090909091,-0.6392318531432356,0,0
ALB,AEG37,5,23,1,1,45,69,19,0,0.16521739130434782,2.1171060378044935,21,1
ALB,AEG38,6,26,2,1,45,72,31,0,0.1987179487179487,1.9667648305985033,14,1
ALB,AEG39,2,18,0,1,51,73,6,0,0.16666666666666666,0.7291610573986842,0,0
