site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,n_red_list_lepi_pa,n_red_list_plant_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
AEG1,n_crop_pests_pa_AEG01,ALB,AEG01,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,9.79,4.98,29,5.43,1.3575,574.31,n_crop_pests_pa,1,1.3575,1344
AEG2,n_crop_pests_pa_AEG02,ALB,AEG02,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,6.34,10.83,29,5.43,1.3575,574.31,n_crop_pests_pa,1,1.3575,1344
AEG3,n_crop_pests_pa_AEG03,ALB,AEG03,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.19,5.5,30,31.92,7.98,574.31,n_crop_pests_pa,1,7.98,1344
AEG4,n_crop_pests_pa_AEG04,ALB,AEG04,4,3,AEG11,0,0.4,0,0.28571,0.02521,0.2549,0.05161,0,0.50679,0.20428,0.1,1,4.39,18.68,36,103.74,25.935,644.56,n_crop_pests_pa,1,25.935,1344
AEG5,n_crop_pests_pa_AEG05,ALB,AEG05,4,3,AEG11,0,0.4,0,0.28571,0.02521,0.2549,0.05161,0,0.50679,0.20428,0.1,1,8.16,4.87,36,103.74,25.935,644.56,n_crop_pests_pa,1,25.935,1344
AEG6,n_crop_pests_pa_AEG06,ALB,AEG06,4,3,AEG11,0,0.4,0,0.28571,0.02521,0.2549,0.05161,0,0.50679,0.20428,0.1,1,6.4,12.67,38,125.23,31.3075,659.19,n_crop_pests_pa,1,31.3075,1344
AEG7,n_crop_pests_pa_AEG07,ALB,AEG07,12,1,AEG07,0.5,0.7,0.58333,1,0.7563,0.94025,0.45161,0,0.42684,0.47086,0,1,9.1,18.05,18,845.44,211.36,-442.29,n_crop_pests_pa,1,211.36,1344
AEG8,n_crop_pests_pa_AEG08,ALB,AEG08,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,8.1,6.54,26,21.36,5.34,489.41,n_crop_pests_pa,1,5.34,1344
AEG9,n_crop_pests_pa_AEG09,ALB,AEG09,12,1,AEG09,1,0.9,1,0.85714,0.65882,0.67241,0.89032,0.5,0.35467,0.7213,0.26667,1,12.39,23.69,18,631.82,157.955,-401.34,n_crop_pests_pa,1,157.955,1344
AEG11,n_crop_pests_pa_AEG11,ALB,AEG11,4,3,AEG11,0,0.4,0,0.28571,0.02521,0.2549,0.05161,0,0.50679,0.20428,0.1,1,5.61,8.87,35,93.53,23.3825,636.7,n_crop_pests_pa,1,23.3825,1344
AEG12,n_crop_pests_pa_AEG12,ALB,AEG12,5,1,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,14.75,8.5,22,0,0,458.63,n_crop_pests_pa,0.5,0,1344
AEG13,n_crop_pests_pa_AEG13,ALB,AEG13,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,6.74,12.49,33,111.38,27.845,574.31,n_crop_pests_pa,1,27.845,1344
AEG14,n_crop_pests_pa_AEG14,ALB,AEG14,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.64,10.74,25,38.08,9.52,459.97,n_crop_pests_pa,1,9.52,1344
AEG15,n_crop_pests_pa_AEG15,ALB,AEG15,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,3.78,11.94,33,111.38,27.845,574.31,n_crop_pests_pa,1,27.845,1344
AEG17,n_crop_pests_pa_AEG17,ALB,AEG17,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,1.98,10.02,29,5.43,1.3575,574.31,n_crop_pests_pa,1,1.3575,1344
AEG18,n_crop_pests_pa_AEG18,ALB,AEG18,5,1,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,3.5,6.57,20,0,0,431.3,n_crop_pests_pa,0.5,0,1344
AEG19,n_crop_pests_pa_AEG19,ALB,AEG19,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.13,10.69,29,5.43,1.3575,574.31,n_crop_pests_pa,1,1.3575,1344
AEG20,n_crop_pests_pa_AEG20,ALB,AEG20,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,2.19,26.93,27,0,0,518.44,n_crop_pests_pa,1,0,1344
AEG21,n_crop_pests_pa_AEG21,ALB,AEG21,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,2.93,5.28,28,6.19,1.5475,547.05,n_crop_pests_pa,1,1.5475,1344
AEG22,n_crop_pests_pa_AEG22,ALB,AEG22,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,4.84,14.89,30,31.92,7.98,574.31,n_crop_pests_pa,1,7.98,1344
AEG23,n_crop_pests_pa_AEG23,ALB,AEG23,4,3,AEG11,0,0.4,0,0.28571,0.02521,0.2549,0.05161,0,0.50679,0.20428,0.1,1,0.49,2.53,44,198.34,49.585,694.44,n_crop_pests_pa,1,49.585,1344
AEG24,n_crop_pests_pa_AEG24,ALB,AEG24,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,1.88,4.86,32,84.89,21.2225,574.31,n_crop_pests_pa,1,21.2225,1344
AEG25,n_crop_pests_pa_AEG25,ALB,AEG25,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,22.06,17.17,34,137.87,34.4675,574.31,n_crop_pests_pa,1,34.4675,1344
AEG26,n_crop_pests_pa_AEG26,ALB,AEG26,12,1,AEG47,0.83333,0.83333,0.83333,0.42857,0.65882,0.57778,1,0,0.64851,0.66035,0,1,1.4,23.34,19,647.77,161.9425,-380.8,n_crop_pests_pa,1,161.9425,1344
AEG27,n_crop_pests_pa_AEG27,ALB,AEG27,5,1,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,2.21,10.49,17,0,0,388.75,n_crop_pests_pa,0.5,0,1344
AEG30,n_crop_pests_pa_AEG30,ALB,AEG30,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,1.37,11.29,32,84.89,21.2225,574.31,n_crop_pests_pa,1,21.2225,1344
AEG31,n_crop_pests_pa_AEG31,ALB,AEG31,5,1,AEG38,0.22222,0.33333,0.16667,0.14286,0.20392,0.12037,0.18065,0,0.51751,0.64879,0.46667,0.5,4.28,14.27,22,0,0,458.63,n_crop_pests_pa,0.5,0,1344
AEG36,n_crop_pests_pa_AEG36,ALB,AEG36,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,9.64,6.45,30,31.92,7.98,574.31,n_crop_pests_pa,1,7.98,1344
AEG37,n_crop_pests_pa_AEG37,ALB,AEG37,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,3.93,17.6,27,8.32,2.08,518.44,n_crop_pests_pa,1,2.08,1344
AEG38,n_crop_pests_pa_AEG38,ALB,AEG38,4,3,AEG11,0,0.4,0,0.28571,0.02521,0.2549,0.05161,0,0.50679,0.20428,0.1,1,1.28,3.02,43,185.25,46.3125,689.47,n_crop_pests_pa,1,46.3125,1344
AEG39,n_crop_pests_pa_AEG39,ALB,AEG39,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.55,10.74,29,5.43,1.3575,574.31,n_crop_pests_pa,1,1.3575,1344
AEG40,n_crop_pests_pa_AEG40,ALB,AEG40,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,0.88,13.89,28,6.19,1.5475,547.05,n_crop_pests_pa,1,1.5475,1344
AEG41,n_crop_pests_pa_AEG41,ALB,AEG41,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.39,14.55,31,58.4,14.6,574.31,n_crop_pests_pa,1,14.6,1344
AEG42,n_crop_pests_pa_AEG42,ALB,AEG42,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,2.54,19.53,30,31.92,7.98,574.31,n_crop_pests_pa,1,7.98,1344
AEG43,n_crop_pests_pa_AEG43,ALB,AEG43,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,0.7,14.02,28,6.19,1.5475,547.05,n_crop_pests_pa,1,1.5475,1344
AEG44,n_crop_pests_pa_AEG44,ALB,AEG44,14,3,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,1.16,24.71,36,170.63,42.6575,574.31,n_crop_pests_pa,1,42.6575,1344
AEG45,n_crop_pests_pa_AEG45,ALB,AEG45,4,3,AEG11,0,0.4,0,0.28571,0.02521,0.2549,0.05161,0,0.50679,0.20428,0.1,1,1.55,7.55,40,148.16,37.04,672.38,n_crop_pests_pa,1,37.04,1344
AEG46,n_crop_pests_pa_AEG46,ALB,AEG46,14,2,AEG44,0.38889,0.43333,0.16667,0.28571,0.31765,0.12037,0.25806,0,0.35841,0.3427,0.23333,1,5.44,14.48,30,31.92,7.98,574.31,n_crop_pests_pa,1,7.98,1344
AEG47,n_crop_pests_pa_AEG47,ALB,AEG47,12,1,AEG47,0.83333,0.83333,0.83333,0.42857,0.65882,0.57778,1,0,0.64851,0.66035,0,1,7.68,29.89,16,538.3,134.575,-380.8,n_crop_pests_pa,1,134.575,1344
AEG48,n_crop_pests_pa_AEG48,ALB,AEG48,12,1,AEG48,0.55556,0.56667,0.66667,1,0.86878,1,0.25806,1,0.09532,0.39658,0.23333,1,7.68,18.05,18,721.89,180.4725,-318.75,n_crop_pests_pa,1,180.4725,1344
AEG1,connectance_pa_AEG01,ALB,AEG01,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,9.79,4.98,29,53.45,13.3625,526.29,connectance_pa,1,13.3625,1458
AEG2,connectance_pa_AEG02,ALB,AEG02,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,6.34,10.83,29,53.45,13.3625,526.29,connectance_pa,1,13.3625,1458
AEG3,connectance_pa_AEG03,ALB,AEG03,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,5.19,5.5,30,68.51,17.1275,537.71,connectance_pa,1,17.1275,1458
AEG4,connectance_pa_AEG04,ALB,AEG04,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,4.39,18.68,36,148.11,37.0275,600.19,connectance_pa,1,37.0275,1458
AEG5,connectance_pa_AEG05,ALB,AEG05,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,8.16,4.87,36,148.11,37.0275,600.19,connectance_pa,1,37.0275,1458
AEG6,connectance_pa_AEG06,ALB,AEG06,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,6.4,12.67,38,166.1,41.525,618.32,connectance_pa,1,41.525,1458
AEG7,connectance_pa_AEG07,ALB,AEG07,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,9.1,18.05,18,15.75,3.9375,387.39,connectance_pa,1,3.9375,1458
AEG8,connectance_pa_AEG08,ALB,AEG08,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,8.1,6.54,26,19.96,4.99,490.82,connectance_pa,1,4.99,1458
AEG9,connectance_pa_AEG09,ALB,AEG09,12,1,AEG09,1,0.9,1,0.85714,0.65882,0.67241,0.89032,0.5,0.35467,0.7213,0.26667,1,12.39,23.69,18,631.82,157.955,-401.34,connectance_pa,0.354670496602773,157.955,1458
AEG11,connectance_pa_AEG11,ALB,AEG11,6,3,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,5.61,8.87,35,139.36,34.84,590.87,connectance_pa,1,34.84,1458
AEG12,connectance_pa_AEG12,ALB,AEG12,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,14.75,8.5,22,17.92,4.48,440.71,connectance_pa,1,4.48,1458
AEG13,connectance_pa_AEG13,ALB,AEG13,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,6.74,12.49,33,114.91,28.7275,570.77,connectance_pa,1,28.7275,1458
AEG14,connectance_pa_AEG14,ALB,AEG14,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,5.64,10.74,25,19.46,4.865,478.59,connectance_pa,1,4.865,1458
AEG15,connectance_pa_AEG15,ALB,AEG15,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,3.78,11.94,33,114.91,28.7275,570.77,connectance_pa,1,28.7275,1458
AEG17,connectance_pa_AEG17,ALB,AEG17,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,1.98,10.02,29,53.45,13.3625,526.29,connectance_pa,1,13.3625,1458
AEG18,connectance_pa_AEG18,ALB,AEG18,6,1,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,3.5,6.57,20,16.85,4.2125,414.45,connectance_pa,1,4.2125,1458
AEG19,connectance_pa_AEG19,ALB,AEG19,6,2,AEG23,0.11111,0.43333,0,0.28571,0,0.18571,0.20645,0,1,0.36939,0.46667,0.5,5.13,10.69,29,53.45,13.3625,526.29,connectance_pa,1,13.3625,1458
AEG20,connectance_pa_AEG20,ALB,AEG20,13,2,AEG46,0.22222,0.26667,0,0.14286,0.05229,0.12037,0.17419,0,0.56255,0.37067,0.5,0.5,2.19,26.93,27,515.88,128.97,2.57,connectance_pa,0.562549485352336,128.97,1458
