site_id,id,region,epid,measure_id,glz_class,epid_assigned,n_lepi,n_plant,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,sum_troph_int_pa,n_unique_int_pa,connectance_pa,z_score_nest_pa,sum_crops_pa,n_crop_pests_pa,sizemanagementunit_ha,slope,glz,oc_ha,oc_0.25ha,p_ha,optimisation,ecovalue,cost,budget
SEG1,av_reg_dist_lepi_pa_SEG01,SCH,SEG01,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,23,0.42,45,321.06,80.27,756.86,av_reg_dist_lepi_pa,1,80.27,3149
SEG2,av_reg_dist_lepi_pa_SEG02,SCH,SEG02,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,45,0.06,47,326.36,81.59,772.5,av_reg_dist_lepi_pa,1,81.59,3149
SEG3,av_reg_dist_lepi_pa_SEG03,SCH,SEG03,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,30.4,0.35,45,321.06,80.27,756.86,av_reg_dist_lepi_pa,1,80.27,3149
SEG4,av_reg_dist_lepi_pa_SEG04,SCH,SEG04,13,1,SEG49,0.5,0.692307692,1,0.495798319,0.619047619,0,0.793103448,0.372971036,0.357142857,0.5,71.5,0.35,24,318.35,79.59,225.22,av_reg_dist_lepi_pa,1,79.59,3149
SEG5,av_reg_dist_lepi_pa_SEG05,SCH,SEG05,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,71.5,0.35,39,297.28,74.32,678.68,av_reg_dist_lepi_pa,1,74.32,3149
SEG6,av_reg_dist_lepi_pa_SEG06,SCH,SEG06,11,2,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,28.57,0.16,33,237.2,59.3,475.4,av_reg_dist_lepi_pa,1,59.3,3149
SEG8,av_reg_dist_lepi_pa_SEG08,SCH,SEG08,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,17.9,0.43,39,297.28,74.32,678.68,av_reg_dist_lepi_pa,1,74.32,3149
SEG9,av_reg_dist_lepi_pa_SEG09,SCH,SEG09,11,2,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,42.2,0,34,247.46,61.87,522.31,av_reg_dist_lepi_pa,1,61.87,3149
SEG10,av_reg_dist_lepi_pa_SEG10,SCH,SEG10,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,30.4,0.67,45,321.06,80.27,756.86,av_reg_dist_lepi_pa,1,80.27,3149
SEG11,av_reg_dist_lepi_pa_SEG11,SCH,SEG11,11,3,SEG21,0.375,0.384615385,1,0.545131485,0.285714286,0,0.702586207,0,0.071428571,1,30.4,0,40,311.82,77.96,725.59,av_reg_dist_lepi_pa,1,77.96,3149
