region,epid,abund_lepi,abund_plant,n_lepi,n_plant,n_spp,n_red_list_lepi_pa,n_red_list_plant_pa,n_red_list_pa,av_threat_lepi_pa,av_threat_plant_pa,av_threat_pa,sum_threat_lepi_pa,sum_threat_plant_pa,sum_threat_pa,av_reg_dist_lepi_pa,av_reg_dist_plant_pa,n_low_reg_dist_lepi_pa,n_low_reg_dist_plant_pa,n_low_reg_dist_pa,sum_troph_int_pa,n_unique_int_pa,n_crop_pests_pa,sum_crops_pa,av_crops_pa,n_spp_multidiv,n_red_list_multidiv,sum_threat_multidiv,n_low_reg_dist_multidiv,cwm_n_red_list_plant,cwm_n_red_list_lepi,cwm_av_threat_plant,cwm_av_threat_lepi,cwm_av_reg_dist_plant,cwm_av_reg_dist_lepi,cwm_n_low_reg_dist_plant,cwm_n_low_reg_dist_lepi,cwm_n_crop_pest,cwm_av_crops,connectance_pa,obs_nest_pa,final_nest_pa,z_score_nest_pa
ALB,AEG01,2,111,2,28,30,0,1,1,0,0.33,0.16,0,0.33,0.33,44,72,1,1,2,12,0,0,0,0,0.7087,0.14286,0.12268,0.16783,0.10331,0,0.03457,0,74.23338,44.5,0.02352,0.5,0,0,0.21429,58.62069,1.36965,0.99153
ALB,AEG02,5,63,3,16,19,0,0,0,0,0,0,0,0,0,57,69,0,1,1,10,0,0,0,0,0.49783,0,0,0.09091,0,0,0,0,67.46345,54.5,0.0776,0,0,0,0.20833,76.92308,11.07004,0.74623
ALB,AEG03,10,132,3,22,25,1,0,1,0.17,0,0.09,0.17,0,0.17,46,71,1,2,3,16,0,0,2,2,0.62826,0.08333,0.03276,0.25874,0,0.48341,0,0.08218,74.92057,41.87515,0.03567,0.48341,0,0.34439,0.24242,74.19355,8.87404,0.84858
ALB,AEG04,6,175,5,16,21,1,1,2,0.17,0.33,0.25,0.17,0.33,0.5,44,72,1,1,2,17,0,0,1,1,0.59783,0.22619,0.15543,0.16783,0.01543,0.17905,0.00509,0.03044,75.62171,44.77706,0.01543,0.17905,0,0.17905,0.2125,52.66667,-10.87821,-0.92301
ALB,AEG05,11,131,5,18,23,0,1,1,0,0.33,0.16,0,0.33,0.33,55,74,0,1,1,15,0,0,2,2,0.6413,0.14286,0.12268,0.09091,0.01839,0,0.00607,0,77.11096,53.60509,0.01839,0,0,0.27055,0.16667,38.72549,-9.66555,-1.00943
ALB,AEG06,13,142,5,24,29,0,1,1,0,0.33,0.16,0,0.33,0.33,44,71,2,1,3,16,0,0,0,0,0.77174,0.14286,0.12268,0.24476,0.05848,0,0.0193,0,75.47224,48.29399,0.01323,0.23138,0,0,0.13333,61.02151,6.53734,0.61782
ALB,AEG07,128,96,11,37,48,7,7,14,0.48,0.36,0.42,3.35,2.52,5.87,28,53,8,9,17,73,0,0,0,0,1.35435,1.58333,1.58228,1.43357,0.11444,0.58367,0.03936,0.25139,59.162,31.4233,0.13874,0.65106,0,0,0.17936,50.94061,4.0257,0.95299
ALB,AEG08,31,72,9,37,46,2,0,2,0.42,0,0.21,0.84,0,0.84,41,68,3,2,5,77,0,2,28,9,1.25435,0.16667,0.16185,0.41259,0,0.13118,0,0.05509,68.36844,46.8414,0.04245,0.19676,0.13118,2.10502,0.23123,79.61301,16.65609,3.96779
ALB,AEG09,75,100,20,43,63,12,6,18,0.41,0.25,0.33,4.87,1.52,6.39,30,58,13,7,20,141,1,0,8,4,1.93478,1.85714,1.5034,1.63636,0.12159,0.56717,0.02835,0.23276,59.77172,31.95465,0.10269,0.5928,0,0.38453,0.16395,57.159910000000004,7.66095,2.37991
ALB,AEG10,17,130,12,29,41,4,1,5,0.3,0.33,0.31,1.18,0.33,1.51,38,69,4,2,6,37,0,1,15,5,1.23043,0.47619,0.35004,0.48951,0.01081,0.27602,0.00357,0.08143,74.51078,41.10828,0.02162,0.27602,0.10937,1.31762,0.10632,62.93182,12.83235,1.90177
ALB,AEG11,2,140,2,28,30,0,2,2,0,0.33,0.16,0,0.66,0.66,56,68,0,3,3,11,0,0,3,2,0.7087,0.28571,0.24535,0.27273,0.02982,0,0.00984,0,69.61525,55.5,0.09958,0,0,1.5,0.19643,20.28986,-0.31666,-0.56586
ALB,AEG12,6,141,6,27,33,2,1,3,0.17,0.33,0.25,0.34,0.33,0.67,42,71,2,1,3,31,0,1,7,7,0.88696,0.30952,0.18819,0.24476,0.07805,0.33333,0.0268,0.05667,74.86292,42.16667,0.03902,0.33333,0.16667,1.16667,0.19136,43.61905,-10.59977,-1.72975
ALB,AEG13,9,153,6,23,29,1,0,1,0.17,0,0.09,0.17,0,0.17,47,72,1,2,3,31,0,1,18,9,0.8,0.08333,0.03276,0.25874,0,0.12895,0,0.02192,75.371,48.88579,0.03175,0.12895,0.20438,3.37716,0.22464,59.59184,1.10102,0.17099
ALB,AEG14,9,149,7,20,27,0,2,2,0,0.33,0.16,0,0.66,0.66,53,74,0,1,1,41,0,2,30,8,0.78478,0.28571,0.24535,0.09091,0.04692,0,0.01548,0,74.45704,52.3256,0.04324,0,0.2448,4.1732,0.29286,83.4907,20.80189,3.34978
ALB,AEG15,7,140,5,23,28,0,2,2,0,0.33,0.16,0,0.66,0.66,55,72,0,2,2,32,0,1,17,6,0.75,0.28571,0.24535,0.18182,0.03832,0,0.01265,0,74.99903,55.63612,0.05246,0,0.16208,2.85011,0.27826,56.76568,5.18213,0.99055
ALB,AEG17,4,144,4,29,33,0,0,0,0,0,0,0,0,0,45,72,1,1,2,26,0,1,7,7,0.83043,0,0,0.16783,0,0,0,0,76.21581,44.75,0.01245,0.25,0.25,1.75,0.22414,60.99537,0.77353,0.11148
ALB,AEG18,4,99,4,23,27,1,0,1,0.17,0,0.09,0.17,0,0.17,54,73,0,1,1,26,0,1,14,14,0.7,0.08333,0.03276,0.09091,0,0.25,0,0.0425,74.86636,54.5,0.04535,0,0.25,3.5,0.28261,72.02614,5.65148,0.8565
ALB,AEG19,2,163,2,17,19,1,1,2,0.17,0.33,0.25,0.17,0.33,0.5,24,74,1,1,2,3,0,1,7,7,0.46957,0.22619,0.15543,0.16783,0.02978,0.5,0.00983,0.085,77.17859,24,0.01742,0.5,0.5,3.5,0.08824,NA,NA,NA
ALB,AEG20,15,136,3,22,25,0,0,0,0,0,0,0,0,0,54,73,0,1,1,11,0,0,0,0,0.62826,0,0,0.09091,0,0,0,0,76.74654,51.27171,0.01302,0,0,0,0.16667,39.78495,1.22757,0.17656
ALB,AEG21,4,127,3,21,24,0,1,1,0,0.33,0.16,0,0.33,0.33,49,75,0,1,1,17,0,0,11,6,0.60652,0.14286,0.12268,0.09091,0.01926,0,0.00636,0,77.44856,50.0948,0.01926,0,0,3.06837,0.26984,63.50575,12.19627,1.74259
ALB,AEG22,107,108,12,34,46,5,2,7,0.47,0.42,0.45,2.35,0.84,3.19,40,62,4,5,9,93,0,1,15,8,1.33913,0.70238,0.76506,0.76224,0.02834,0.34189,0.012070000000000001,0.12822,61.94801,41.66522,0.12935,0.30684,0.03505,0.54622,0.22794,64.7925,7.32313,1.92378
ALB,AEG23,5,124,4,29,33,0,2,2,0,0.33,0.16,0,0.66,0.66,58,70,0,2,2,35,0,1,14,14,0.83043,0.28571,0.24535,0.18182,0.02384,0,0.00826,0,70.92949,58.43621,0.0677,0,0.34569,4.83962,0.30172,66.3803,1.99874,0.37486
ALB,AEG24,8,132,3,17,20,0,1,1,0,0.33,0.16,0,0.33,0.33,49,76,0,0,0,9,0,1,14,7,0.51957,0.14286,0.12268,0,0.01934,0,0.00638,0,76.51913,52.96758,0,0,0.20801,2.9122,0.17647,52.77778,3.43214,0.32787
ALB,AEG25,42,80,12,46,58,5,5,10,0.27,0.27,0.27,1.35,1.35,2.7,34,56,7,11,18,90,0,0,0,0,1.6,1.13095,0.76197,1.53846,0.09858,0.33437,0.02903,0.08223,58.79928,39.41771,0.19208,0.43593,0,0,0.16304,62.33461,7.9789,1.92705
ALB,AEG26,111,70,16,37,53,8,7,15,0.4,0.38,0.39,3.19,2.69,5.88,34,53,7,10,17,114,0,1,21,10,1.60435,1.66667,1.61464,1.44755,0.10063,0.53671,0.03948,0.2224,58.39736,33.35212,0.17136,0.50726,0.02945,0.61842,0.19257,59.4171,7.30516,2.1011
ALB,AEG27,83,112,14,35,49,7,7,14,0.31,0.26,0.29,2.19,1.85,4.04,33,57,8,7,15,105,0,0,8,4,1.46087,1.58333,1.1097,1.25175,0.13908,0.44338,0.04449,0.10928,58.63887,36.40729,0.14258,0.51119,0,0.41008,0.21429,60.69758,4.23919,1.12836
ALB,AEG28,30,106,8,45,53,2,3,5,0.17,0.33,0.25,0.34,1,1.34,43,64,3,3,6,75,0,0,7,7,1.37826,0.59524,0.43726,0.5035,0.02975,0.23926,0.00992,0.04067,68.36461,45.77376,0.02975,0.306,0,0.46717,0.20833,74.98281,15.43889,3.70702
ALB,AEG30,77,114,10,34,44,5,1,6,0.27,0.33,0.3,1.35,0.33,1.68,40,72,4,1,5,63,0,1,15,8,1.23913,0.55952,0.38279,0.3986,0.01231,0.31208,0.00411,0.09314,73.61853,44.39163,0.01231,0.2615,0.05058,0.75871,0.18529,65.83201,8.73875,1.85621
ALB,AEG31,32,118,4,32,36,0,1,1,0,0.33,0.16,0,0.33,0.33,55,67,0,2,2,23,0,1,14,14,0.89565,0.14286,0.12268,0.18182,0.01498,0,0.00494,0,70.78955,52.96031,0.0406,0,0.10581,1.48129,0.17969,58.59107,15.57383,2.57243
ALB,AEG32,233,103,15,26,41,7,1,8,0.38,0.33,0.36,2.69,0.33,3.02,32,74,9,0,9,55,1,0,0,0,1.31522,0.72619,0.64098,0.69231,0.01591,0.38034,0.00525,0.12747,71.41421,35.4501,0,0.5388,0,0,0.14103,55.79087,5.53254,1.10351
